reviewStatus,followUpOwner,targetDate,outcome,actionRank,priorityBand,actionType,chapter,date,candidateId,title,whyNow,nextAction,evidence,sourceArtifacts,catalogUrl,pdfUrl
,,,,109,P0 - selected-document release/search blocker,Denial review,Turkey,1991-04-16,Doc 3.043,"Presidential Call to President Ozal, April 16, 1991 (2 of 2)",Denied; schedule NAIDs 415891232; 415891233; source-packet context attached.,"Review the denial for Doc 3.043, ""Presidential Call to President Ozal, April 16, 1991 (2 of 2)"", and provide a release determination or written referral/withholding rationale for the denied memorandum/call.","[Presidential Daily Diary] 4/16/1991 - NAID 415891232 - Catalog: https://catalog.archives.gov/id/415891232 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-04_16_91-12854-013_415891232.pdf || [Presidential Daily Backup] 4/16/1991 - NAID 415891233 - Catalog: https://catalog.archives.gov/id/415891233 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-04_16_91-12854-014_415891233.pdf || rank 1 - Requested source pool: NSC/DC Meetings - RS 005-004 - 1991-04-08 to 1991-04-08 - NSC/DC 268 - April 08, 1991 - NSC/DC Meeting on Iraqi Refugees via SVTS, Keywords: Iraq, Refugees - NAID 470761286 || rank 2 - Central Chronological Files - CC 037 - 1991-04-01 - April 1991 [6] - NAID 470761755 || rank 3 - Central Chronological Files - CC 042 - 1991-04-01 - April 1991 [1] - NAID 470761750",reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428081617,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-04-16--Ozal-2.pdf
,,,,120,P0 - selected-document release/search blocker,Full review of withheld portions,Greece,1991-12-12,Doc 1.010,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3)",Partial; schedule NAIDs 415891716; 415891717; source-packet context attached.,"Conduct full declassification review of withheld or redacted portions for Doc 1.010, ""Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3)"", using related source-packet context and schedule evidence where available.","[Presidential Daily Diary] 12/12/1991 - NAID 415891716 - Catalog: https://catalog.archives.gov/id/415891716 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-12_12_91-12875-023_415891716.pdf || [Presidential Daily Backup] 12/12/1991 - NAID 415891717 - Catalog: https://catalog.archives.gov/id/415891717 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-12_12_91-12875-024_415891717.pdf || rank 1 - Requested source pool: Presidential Daily File - RS 002-021 - 1991-12-12 to 1991-12-12 - Thursday, December 12, 1991 [2] - NAID 470417495 || rank 2 - Requested source pool: Scowcroft Papers - RS 001-014 - Presidential Meetings--Memorandum of Conversations 10/16/91-12/17/91 - NAID 366551679 || rank 3 - Central Chronological Files - CC 014 - 1991-12-01 - December 1991 [1] - NAID 470761786",reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428082073,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-2.pdf
,,,,121,P0 - selected-document release/search blocker,Full review of withheld portions,Cyprus,1992-03-30,Doc 2.003,"Meeting with George Vassiliou, President of Cyprus, March 30, 1992",Partial; schedule NAIDs 415891936; 415891937; source-packet context attached.,"Conduct full declassification review of withheld or redacted portions for Doc 2.003, ""Meeting with George Vassiliou, President of Cyprus, March 30, 1992"", using related source-packet context and schedule evidence where available.","[Presidential Daily Diary] 3/30/1992 - NAID 415891936 - Catalog: https://catalog.archives.gov/id/415891936 - PDF: https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-03_30_92-12885-015_415891936.pdf || [Presidential Daily Backup] 3/30/1992 - NAID 415891937 - Catalog: https://catalog.archives.gov/id/415891937 - PDF: https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-03_30_92-12885-016_415891937.pdf || rank 1 - Requested source pool: Presidential Daily File - RS 002-024 - 1992-03-30 to 1992-03-30 - Monday, March 30, 1992 [1] - NAID 470417673 || rank 2 - Requested source pool: Scowcroft Papers - RS 001-003 - Presidential Meetings--Memorandum of Conversations 3/3/92-4/28/92 - NAID 366551682 || rank 3 - Central Chronological Files - CC 003 - 1992-03-01 - March 1992 [3] - NAID 470761800",reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428082149,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-03-30--Vassiliou.pdf
,,,,123,P0 - selected-document release/search blocker,Full review of withheld portions,Turkey,1990-01-18,Doc 3.009,"Meeting with President Turgut Ozal of Turkey, January 18, 1990 (2 of 2)",Partial; schedule NAIDs 415890324; 415890325; source-packet context attached.,"Conduct full declassification review of withheld or redacted portions for Doc 3.009, ""Meeting with President Turgut Ozal of Turkey, January 18, 1990 (2 of 2)"", using related source-packet context and schedule evidence where available.",[Presidential Daily Diary] 1/18/1990 [EMPTY] - NAID 415890324 - Catalog: https://catalog.archives.gov/id/415890324 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-01_18_90-12815-015_415890324.pdf || [Presidential Daily Backup] 1/18/1990 - NAID 415890325 - Catalog: https://catalog.archives.gov/id/415890325 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-01_18_90-12815-016_415890325.pdf || rank 1 - Requested source pool: Scowcroft Papers - RS 001-007 - Presidential Meetings--Memorandum of Conversations 1/11/90-2/21/90 - NAID 366551666 || rank 2 - Central Chronological Files - CC 033 - 1990-01-01 - January 1990 [1] - NAID 470761674,reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428080437,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-01-18--Ozal-2.pdf
,,,,124,P0 - selected-document release/search blocker,Full review of withheld portions,Turkey,1990-08-04,Doc 3.012,"Telephone Call to President Turgut Ozal of Turkey, August 4, 1990",Partial; schedule NAIDs 415890720; 415890721; source-packet context attached.,"Conduct full declassification review of withheld or redacted portions for Doc 3.012, ""Telephone Call to President Turgut Ozal of Turkey, August 4, 1990"", using related source-packet context and schedule evidence where available.","[Presidential Daily Diary] 8/4/1990 - NAID 415890720 - Catalog: https://catalog.archives.gov/id/415890720 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_04_90-12833-021_415890720.pdf || [Presidential Daily Backup] 8/4/1990 - NAID 415890721 - Catalog: https://catalog.archives.gov/id/415890721 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_04_90-12833-022_415890721.pdf || rank 1 - Requested source pool: Presidential Daily File - RS 002-029 - 1990-08-14 to 1990-08-14 - Tuesday, August 14, 1990 - NAID 470416813 || rank 2 - Central Chronological Files - CC 055 - 1990-08-01 - August 1990 [7] - NAID 470761713 || rank 3 - Central Chronological Files - CC 057 - 1990-08-01 - August 1990 [5] - NAID 470761711",reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428080891,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-04--Ozal.pdf
,,,,131,P0 - selected-document release/search blocker,Full review of withheld portions,Turkey,1991-07-10,Doc 3.049,"Telephone Call with Turgut Ozal, President of Turkey on July 10, 1991",Partial; schedule NAIDs 415891403; 415891404; source-packet context attached.,"Conduct full declassification review of withheld or redacted portions for Doc 3.049, ""Telephone Call with Turgut Ozal, President of Turkey on July 10, 1991"", using related source-packet context and schedule evidence where available.",[Presidential Daily Diary] 7/10/1991 - NAID 415891403 - Catalog: https://catalog.archives.gov/id/415891403 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-07_10_91-12863-007_415891403.pdf || [Presidential Daily Backup] 7/10/1991 - NAID 415891404 - Catalog: https://catalog.archives.gov/id/415891404 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-07_10_91-12863-008_415891404.pdf || rank 1 - Central Chronological Files - CC 002 - 1991-07-01 - July 1991 [2] - NAID 470761766 || rank 2 - Central Chronological Files - CC 024 - 1991-07-01 - July 1991 [3] - NAID 470761767 || rank 3 - Central Chronological Files - CC 069 - 1991-07-01 - July 1991 [4] - NAID 470761768,reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428081761,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-07-10--Ozal.pdf
,,,,132,P0 - selected-document release/search blocker,Full review of withheld portions,Turkey,1992-05-11,Doc 3.060,"Telcon with Prime Minister Demirel of Turkey, May 11, 1992",Partial; schedule NAIDs 415892021; 415892022; source-packet context attached.,"Conduct full declassification review of withheld or redacted portions for Doc 3.060, ""Telcon with Prime Minister Demirel of Turkey, May 11, 1992"", using related source-packet context and schedule evidence where available.",[Presidential Daily Diary] 5/11/1992 - NAID 415892021 - Catalog: https://catalog.archives.gov/id/415892021 - PDF: https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-05_11_92-12889-019_415892021.pdf || [Presidential Daily Backup] 5/11/1992 - NAID 415892022 - Catalog: https://catalog.archives.gov/id/415892022 - PDF: https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-05_11_92-12889-020_415892022.pdf || rank 1 - Requested source pool: Scowcroft Papers - RS 001-017 - Presidential Telephone Calls--Memorandum of Conversations 4/10/92-6/30/92 - NAID 366551704 || rank 2 - Central Chronological Files - CC 005 - 1992-05-01 - May 1992 [5] - NAID 470761812 || rank 3 - Central Chronological Files - CC 054 - 1992-05-01 - May 1992 [3] - NAID 470761810,reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428082217,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-05-11--Demirel.pdf
,,,,133,P0 - selected-document release/search blocker,Full review of withheld portions,Turkey,1992-08-01,Doc 3.064,"Telephone Conversation with Prime Minister Suleyman Demirel of Turkey, August 1, 1992",Partial; schedule NAIDs 415892188; 415892189; source-packet context attached.,"Conduct full declassification review of withheld or redacted portions for Doc 3.064, ""Telephone Conversation with Prime Minister Suleyman Demirel of Turkey, August 1, 1992"", using related source-packet context and schedule evidence where available.","[Presidential Daily Diary] 8/1/1992 - NAID 415892188 - Catalog: https://catalog.archives.gov/id/415892188 - PDF: https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-08_01_92-12897-009_415892188.pdf || [Presidential Daily Backup] 8/1/1992 - NAID 415892189 - Catalog: https://catalog.archives.gov/id/415892189 - PDF: https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-08_01_92-12897-010_415892189.pdf || rank 1 - Requested source pool: Presidential Daily File - RS 002-027 - 1992-08-01 to 1992-08-01 - Saturday, August 1, 1992 - NAID 470417945 || rank 2 - Requested source pool: Scowcroft Papers - RS 001-018 - Presidential Telephone Calls--Memorandum of Conversations 7/10/92-11/5/92 - NAID 366551705",reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428082337,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1992-08-01--Demirel.pdf
,,,,142,P0 - selected-document release/search blocker,Search or existence confirmation,Turkey,1989-05-29,Doc 3.002,"Meeting with Prime Minister Turgut Ozal of Turkey, May 29, 1989 (no Memcon)",Marker / no memorandum listed; schedule NAIDs 415889856; 415889857; source-packet context attached.,"Search for, confirm, or locate the memorandum/telcon for Doc 3.002, ""Meeting with Prime Minister Turgut Ozal of Turkey, May 29, 1989 (no Memcon)"", using the attached Presidential Daily Diary/Backup references as evidence of the meeting or call.",[Presidential Daily Diary] 5/29/1989 [EMPTY] - NAID 415889856 - Catalog: https://catalog.archives.gov/id/415889856 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_29_98-12798-009_415889856.pdf || [Presidential Daily Backup] 5/29/1989 - NAID 415889857 - Catalog: https://catalog.archives.gov/id/415889857 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_29_98-12798-010_415889857.pdf || rank 1 - Blackwill Chronological Files - BC 001 - 1989-06-01 - June 1989 [6] - NAID 453248088 || rank 2 - Blackwill Chronological Files - BC 002 - 1989-07-01 - July 1989 [2] - NAID 453248091 || rank 3 - Blackwill Chronological Files - BC 003 - 1989-05-01 - May 1989 [7] - NAID 453248079,reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428082487,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-29--Ozal.pdf
,,,,145,P0 - selected-document release/search blocker,Search or existence confirmation,Turkey,1990-08-16,Doc 3.016,"Telephone Call with Turgut Ozal, August 16, 1990",Marker / no memorandum listed; schedule NAIDs 415890744; 415890745; source-packet context attached.,"Search for, confirm, or locate the memorandum/telcon for Doc 3.016, ""Telephone Call with Turgut Ozal, August 16, 1990"", using the attached Presidential Daily Diary/Backup references as evidence of the meeting or call.","[Presidential Daily Diary] 8/16/1990 [EMPTY] - NAID 415890744 - Catalog: https://catalog.archives.gov/id/415890744 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_16_90-12834-019_415890744.pdf || [Presidential Daily Backup] 8/16/1990 - NAID 415890745 - Catalog: https://catalog.archives.gov/id/415890745 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_16_90-12834-020_415890745.pdf || rank 1 - Requested source pool: Presidential Daily File - RS 002-029 - 1990-08-14 to 1990-08-14 - Tuesday, August 14, 1990 - NAID 470416813 || rank 2 - Central Chronological Files - CC 055 - 1990-08-01 - August 1990 [7] - NAID 470761713 || rank 3 - Central Chronological Files - CC 057 - 1990-08-01 - August 1990 [5] - NAID 470761711",reports/compiler-declassification-requests.md | reports/compiler-declassification-review.md | reports/compiler-document-register.md,https://catalog.archives.gov/id/428080933,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-16--Ozal.pdf
