reviewStatus,compilerDecision,compilerNotes,chapter,rowType,priority,candidateId,date,title,lane,reason,sourceNote,researchNote,catalogUrl,pdfUrl
,,,Greece,Selected chronology,Selected,Doc 1.001,1989-05-30,"Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989",Memcon,George H. W. Bush; Andreas Papandreou,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989. Release status: Full. NAID 428082497.",PDF extent: 3 pages. Digital object: 1989-05-30--Papandreou.pdf. Catalog: https://catalog.archives.gov/id/428082497.,https://catalog.archives.gov/id/428082497,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-30--Papandreou.pdf
,,,Greece,Selected chronology,Selected,Doc 1.002,1989-10-24,"Presentation of Credentials by Christos Zacharakis, Ambassador of Greece",Memcon,George H. W. Bush; Christos Zacharakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Presentation of Credentials by Christos Zacharakis, Ambassador of Greece. Release status: Full. NAID 428080281.",PDF extent: 3 pages. Digital object: 1989-10-24--Zacharakis.pdf. Catalog: https://catalog.archives.gov/id/428080281.,https://catalog.archives.gov/id/428080281,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-10-24--Zacharakis.pdf
,,,Greece,Selected chronology,Selected,Doc 1.003,1989-11-27,"Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989",Telcon,George H. W. Bush; Xenofon Zolotas,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989. Release status: Full. NAID 428080371.",PDF extent: 2 pages. Digital object: 1989-11-27--Zolotas.pdf. Catalog: https://catalog.archives.gov/id/428080371.,https://catalog.archives.gov/id/428080371,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Zolotas.pdf
,,,Greece,Selected chronology,Selected,Doc 1.004,1990-06-06,"Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990",Memcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990. Release status: Full. NAID 428080735.",PDF extent: 11 pages. Digital object: 1990-06-06--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428080735.,https://catalog.archives.gov/id/428080735,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-06-06--Mitsotakis.pdf
,,,Greece,Selected chronology,Selected,Doc 1.005,1990-08-22,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990",Telcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990. Release status: Full. NAID 428080965.",PDF extent: 3 pages. Digital object: 1990-08-22--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428080965.,https://catalog.archives.gov/id/428080965,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-22--Mitsotakis.pdf
,,,Greece,Selected chronology,Selected,Doc 1.006,1990-11-21,"Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990",Memcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990. Release status: Full. NAID 428081201.",PDF extent: 4 pages. Digital object: 1990-11-21--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428081201.,https://catalog.archives.gov/id/428081201,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-11-21--Mitsotakis.pdf
,,,Greece,Selected chronology,Selected,Doc 1.007,1991-01-14,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991",Telcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991. Release status: Full. NAID 428081343.",PDF extent: 2 pages. Digital object: 1991-01-14--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428081343.,https://catalog.archives.gov/id/428081343,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-14--Mitsotakis.pdf
,,,Greece,Selected chronology,Selected,Doc 1.008,1991-07-18,"President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991",Memcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991. Release status: Full. NAID 428081777.",PDF extent: 6 pages. Digital object: 1991-07-18--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428081777.,https://catalog.archives.gov/id/428081777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-07-18--Mitsotakis.pdf
,,,Greece,Selected chronology,Selected,Doc 1.009,1991-12-12,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3)",Memcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3). Release status: Full. NAID 428082071.",PDF extent: 3 pages. Digital object: 1991-12-12--Mitsotakis-1.pdf. Catalog: https://catalog.archives.gov/id/428082071.,https://catalog.archives.gov/id/428082071,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-1.pdf
,,,Greece,Selected chronology,Release/marker review,Doc 1.010,1991-12-12,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3)",Memcon,George H. W. Bush; Constantine Mitsotakis,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3). Release status: Partial. NAID 428082073.",PDF extent: 7 pages. Digital object: 1991-12-12--Mitsotakis-2.pdf. Catalog: https://catalog.archives.gov/id/428082073.,https://catalog.archives.gov/id/428082073,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-2.pdf
