reviewStatus,followUpOwner,outcome,severity,lane,candidateId,chapter,date,title,issue,detail,suggestedAction,catalogUrl,pdfUrl
,,,fix before citation,NARA Scout,Scout 080,Regional,1991-01-30,"President's Daily Diary Entry, January 30, 1991",Name/title spelling variant,Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/186336,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/1863/186336/content/arcmedia/media/images/40/20/40-1983a.gif
,,,fix before citation,NARA Scout,Scout 037,Turkey,1991-02-05,"President's Daily Diary Entry, February 5, 1991",Name/title spelling variant,Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/186342,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/42/1863/186342/content/arcmedia/media/images/40/21/40-2053a.gif
,,,fix before citation,NARA Scout,Scout 037,Turkey,1991-02-05,"President's Daily Diary Entry, February 5, 1991",Name/title spelling variant,Found Mitterand in scopeAndContentNote; review against preferred form Mitterrand.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/186342,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/42/1863/186342/content/arcmedia/media/images/40/21/40-2053a.gif
,,,fix before citation,NARA Scout,Scout 039,Turkey,1991-02-22,"President's Daily Diary Entry, February 22, 1991",Name/title spelling variant,Found Mitterand in scopeAndContentNote; review against preferred form Mitterrand.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/186359,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/59/1863/186359/content/arcmedia/media/images/40/23/40-2225a.gif
,,,fix before citation,NARA Scout,Scout 023,Greece,1991-07-20,Souda Bay Naval Stationn - Crete 7/20/91 [OA 8325] [2],Title spelling variant,"Found Stationn in title, documentTitle, sourceNote; review against preferred form Station.",Verify whether the Catalog title contains a typo before citation or selection.,https://catalog.archives.gov/id/323153447,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-spe/speechwriting_backup_chron_579003/41-bpr-speech-backup-chron-13765-001_323153447.pdf
,,,fix before citation,Schedule corroboration,Doc 3.002 / Schedule NAID 415889856,Turkey,1989-05-29,[Presidential Daily Diary] 5/29/1989 [EMPTY],Filename/date mismatch,"Item date is 1989-05-29, but digital object filename suggests 1998-05-29: 41-bpr-apts_sch-dd-05_29_98-12798-009_415889856.pdf.",Open the Catalog/PDF and verify the correct date before citation or selection.,https://catalog.archives.gov/id/415889856,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_29_98-12798-009_415889856.pdf
,,,fix before citation,Schedule corroboration,Doc 3.002 / Schedule NAID 415889857,Turkey,1989-05-29,[Presidential Daily Backup] 5/29/1989,Filename/date mismatch,"Item date is 1989-05-29, but digital object filename suggests 1998-05-29: 41-bpr-apts_sch-dd-05_29_98-12798-010_415889857.pdf.",Open the Catalog/PDF and verify the correct date before citation or selection.,https://catalog.archives.gov/id/415889857,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_29_98-12798-010_415889857.pdf
,,,fix before citation,Schedule corroboration,Doc 3.033 / Schedule NAID 186336,Turkey,1991-01-30,"President's Daily Diary Entry, January 30, 1991",Name/title spelling variant,Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/186336,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/1863/186336/content/arcmedia/media/images/40/20/40-1983a.gif
,,,fix before citation,Schedule corroboration,Doc 3.033 / Schedule NAID 415891080,Turkey,1991-01-30,[Presidential Daily Diary] 1/30/1991,Name/title spelling variant,Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/415891080,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/36/1863/186336/content/arcmedia/media/images/40/20/40-1983a.gif
,,,fix before citation,Schedule corroboration,Doc 3.034 / Schedule NAID 186342,Turkey,1991-02-05,"President's Daily Diary Entry, February 5, 1991",Name/title spelling variant,Found Turgat Ozal in scopeAndContentNote; review against preferred form Turgut Ozal.,Verify diary text against the PDF before using this wording in notes or names.,https://catalog.archives.gov/id/186342,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/42/1863/186342/content/arcmedia/media/images/40/21/40-2053a.gif
