reviewStatus,followUpOwner,followUpDate,outcome,compilerNumber,chapter,date,type,title,releaseStatus,accessRestriction,suggestedAction,participants,pageCount,naid,sourceNote,sourceNoteProvenance,researchNote,scheduleReferences,catalogUrl,pdfUrl
,,,,1.010,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3)",Partial,Restricted - Partly,Compare released text against source context and request full review of withheld passages if needed.,George H. W. Bush; Constantine Mitsotakis,7,428082073,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Partial; Catalog access: Restricted - Partly; NAID 428082073; PDF extent: 7 pages; digital object: 1991-12-12--Mitsotakis-2.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Partial; Catalog access Restricted - Partly; NAID 428082073. PDF extent: 7 pages. Digital object: 1991-12-12--Mitsotakis-2.pdf. Catalog: https://catalog.archives.gov/id/428082073.,[Presidential Daily Diary] 12/12/1991 - NAID 415891716 - Catalog: https://catalog.archives.gov/id/415891716 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-12_12_91-12875-023_415891716.pdf || [Presidential Daily Backup] 12/12/1991 - NAID 415891717 - Catalog: https://catalog.archives.gov/id/415891717 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-12_12_91-12875-024_415891717.pdf,https://catalog.archives.gov/id/428082073,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-2.pdf
,,,,2.003,Cyprus,1992-03-30,Memcon,"Meeting with George Vassiliou, President of Cyprus, March 30, 1992",Partial,Restricted - Partly,Compare released text against source context and request full review of withheld passages if needed.,George H. W. Bush; George Vassiliou,6,428082149,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with George Vassiliou, President of Cyprus, March 30, 1992.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Partial; Catalog access: Restricted - Partly; NAID 428082149; PDF extent: 6 pages; digital object: 1992-03-30--Vassiliou.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Partial; Catalog access Restricted - Partly; NAID 428082149. PDF extent: 6 pages. Digital object: 1992-03-30--Vassiliou.pdf. Catalog: https://catalog.archives.gov/id/428082149.,[Presidential Daily Diary] 3/30/1992 - NAID 415891936 - Catalog: https://catalog.archives.gov/id/415891936 - PDF: https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-03_30_92-12885-015_415891936.pdf || [Presidential Daily Backup] 3/30/1992 - NAID 415891937 - Catalog: https://catalog.archives.gov/id/415891937 - PDF: https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1992/41-bpr-apts_sch-dd-03_30_92-12885-016_415891937.pdf,https://catalog.archives.gov/id/428082149,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1992-03-30--Vassiliou.pdf
,,,,3.002,Turkey,1989-05-29,No Memcon,"Meeting with Prime Minister Turgut Ozal of Turkey, May 29, 1989 (no Memcon)",Marker / no memorandum listed,Unrestricted,Confirm whether a memorandum/telcon exists; use schedule references as evidence of the meeting or call.,George H. W. Bush; Turgut Ozal,2,428082487,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Meeting with Prime Minister Turgut Ozal of Turkey, May 29, 1989 (no Memcon).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428082487; PDF extent: 2 pages; digital object: 1989-05-29--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Marker / no memorandum listed; Catalog access Unrestricted; NAID 428082487. PDF extent: 2 pages. Digital object: 1989-05-29--Ozal.pdf. Catalog: https://catalog.archives.gov/id/428082487.,[Presidential Daily Diary] 5/29/1989 [EMPTY] - NAID 415889856 - Catalog: https://catalog.archives.gov/id/415889856 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_29_98-12798-009_415889856.pdf || [Presidential Daily Backup] 5/29/1989 - NAID 415889857 - Catalog: https://catalog.archives.gov/id/415889857 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_29_98-12798-010_415889857.pdf,https://catalog.archives.gov/id/428082487,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-29--Ozal.pdf
,,,,3.009,Turkey,1990-01-18,Memcon,"Meeting with President Turgut Ozal of Turkey, January 18, 1990 (2 of 2)",Partial,Restricted - Partly,Compare released text against source context and request full review of withheld passages if needed.,George H. W. Bush; Turgut Ozal,8,428080437,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with President Turgut Ozal of Turkey, January 18, 1990 (2 of 2).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Partial; Catalog access: Restricted - Partly; NAID 428080437; PDF extent: 8 pages; digital object: 1990-01-18--Ozal-2.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Partial; Catalog access Restricted - Partly; NAID 428080437. PDF extent: 8 pages. Digital object: 1990-01-18--Ozal-2.pdf. Catalog: https://catalog.archives.gov/id/428080437.,[Presidential Daily Diary] 1/18/1990 [EMPTY] - NAID 415890324 - Catalog: https://catalog.archives.gov/id/415890324 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-01_18_90-12815-015_415890324.pdf || [Presidential Daily Backup] 1/18/1990 - NAID 415890325 - Catalog: https://catalog.archives.gov/id/415890325 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-01_18_90-12815-016_415890325.pdf,https://catalog.archives.gov/id/428080437,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-01-18--Ozal-2.pdf
,,,,3.012,Turkey,1990-08-04,Telcon,"Telephone Call to President Turgut Ozal of Turkey, August 4, 1990",Partial,Restricted - Partly,Compare released text against source context and request full review of withheld passages if needed.,George H. W. Bush; Turgut Ozal,2,428080891,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to President Turgut Ozal of Turkey, August 4, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Partial; Catalog access: Restricted - Partly; NAID 428080891; PDF extent: 2 pages; digital object: 1990-08-04--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Partial; Catalog access Restricted - Partly; NAID 428080891. PDF extent: 2 pages. Digital object: 1990-08-04--Ozal.pdf. Catalog: https://catalog.archives.gov/id/428080891.,[Presidential Daily Diary] 8/4/1990 - NAID 415890720 - Catalog: https://catalog.archives.gov/id/415890720 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_04_90-12833-021_415890720.pdf || [Presidential Daily Backup] 8/4/1990 - NAID 415890721 - Catalog: https://catalog.archives.gov/id/415890721 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_04_90-12833-022_415890721.pdf,https://catalog.archives.gov/id/428080891,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-04--Ozal.pdf
,,,,3.016,Turkey,1990-08-16,No Telcon,"Telephone Call with Turgut Ozal, August 16, 1990",Marker / no memorandum listed,Unrestricted,Confirm whether a memorandum/telcon exists; use schedule references as evidence of the meeting or call.,George H. W. Bush; Turgut Ozal,2,428080933,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call with Turgut Ozal, August 16, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428080933; PDF extent: 2 pages; digital object: 1990-08-16--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Marker / no memorandum listed; Catalog access Unrestricted; NAID 428080933. PDF extent: 2 pages. Digital object: 1990-08-16--Ozal.pdf. Catalog: https://catalog.archives.gov/id/428080933.,[Presidential Daily Diary] 8/16/1990 [EMPTY] - NAID 415890744 - Catalog: https://catalog.archives.gov/id/415890744 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_16_90-12834-019_415890744.pdf || [Presidential Daily Backup] 8/16/1990 - NAID 415890745 - Catalog: https://catalog.archives.gov/id/415890745 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_16_90-12834-020_415890745.pdf,https://catalog.archives.gov/id/428080933,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-16--Ozal.pdf
,,,,3.027,Turkey,1990-12-16,No Telcon,"Telephone Call from Turgut Ozal, December 16, 1990",Marker / no memorandum listed,Unrestricted,Confirm whether a memorandum/telcon exists; use schedule references as evidence of the meeting or call.,George H. W. Bush; Turgut Ozal,2,428081251,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from Turgut Ozal, December 16, 1990.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428081251; PDF extent: 2 pages; digital object: 1990-12-16--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Marker / no memorandum listed; Catalog access Unrestricted; NAID 428081251. PDF extent: 2 pages. Digital object: 1990-12-16--Ozal.pdf. Catalog: https://catalog.archives.gov/id/428081251.,[Presidential Daily Diary] 12/16/1990 - NAID 415890990 - Catalog: https://catalog.archives.gov/id/415890990 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-12_16_90-12845-005_415890990.pdf || [Presidential Daily Backup] 12/16/1990 - NAID 415890991 - Catalog: https://catalog.archives.gov/id/415890991 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-12_16_90-12845-006_415890991.pdf,https://catalog.archives.gov/id/428081251,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-12-16--Ozal.pdf
,,,,3.031,Turkey,1991-01-16,No Telcon,"Telephone Call to Turgut Ozal, January 16, 1991",Marker / no memorandum listed,Unrestricted,Confirm whether a memorandum/telcon exists; use schedule references as evidence of the meeting or call.,George H. W. Bush; Turgut Ozal,2,428081335,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Turgut Ozal, January 16, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428081335; PDF extent: 2 pages; digital object: 1991-01-16--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Marker / no memorandum listed; Catalog access Unrestricted; NAID 428081335. PDF extent: 2 pages. Digital object: 1991-01-16--Ozal.pdf. Catalog: https://catalog.archives.gov/id/428081335.,[Presidential Daily Diary] 1/16/1991 - NAID 415891052 - Catalog: https://catalog.archives.gov/id/415891052 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-01_16_91-12847-001_415891052.pdf || [Presidential Daily Backup] 1/16/1991 - NAID 415891053 - Catalog: https://catalog.archives.gov/id/415891053 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-01_16_91-12847-002_415891053.pdf,https://catalog.archives.gov/id/428081335,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-16--Ozal.pdf
,,,,3.040,Turkey,1991-03-27,No Telcon,"Telephone Call from Turgut Ozal, March 27, 1991",Marker / no memorandum listed,Unrestricted,Confirm whether a memorandum/telcon exists; use schedule references as evidence of the meeting or call.,George H. W. Bush; Turgut Ozal,2,428081553,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call from Turgut Ozal, March 27, 1991.","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Marker / no memorandum listed; Catalog access: Unrestricted; NAID 428081553; PDF extent: 2 pages; digital object: 1991-03-27--Ozal.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Marker / no memorandum listed; Catalog access Unrestricted; NAID 428081553. PDF extent: 2 pages. Digital object: 1991-03-27--Ozal.pdf. Catalog: https://catalog.archives.gov/id/428081553.,[Presidential Daily Diary] 3/27/1991 - NAID 415891192 - Catalog: https://catalog.archives.gov/id/415891192 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-03_27_91-12852-015_415891192.pdf || [Presidential Daily Backup] 3/27/1991 - NAID 415891193 - Catalog: https://catalog.archives.gov/id/415891193 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-03_27_91-12852-016_415891193.pdf,https://catalog.archives.gov/id/428081553,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-03-27--Ozal.pdf
,,,,3.043,Turkey,1991-04-16,Telcon,"Presidential Call to President Ozal, April 16, 1991 (2 of 2)",Denied,Restricted - Fully,Request denial review and capture agency/referral rationale.,George H. W. Bush; Turgut Ozal,1,428081617,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Presidential Call to President Ozal, April 16, 1991 (2 of 2).","FRUS source-note draft is Catalog-derived and limited to repository, record group/collection, series, and title. Catalog provenance retained separately: public Catalog release status: Denied; Catalog access: Restricted - Fully; NAID 428081617; PDF extent: 1 pages; digital object: 1991-04-16--Ozal-2.pdf. Final publication check: confirm original classification marking, drafting/clearance/distribution details, marginalia, and exact archival container/OA-ID against the PDF or Library metadata.",Catalog provenance: public Catalog release status Denied; Catalog access Restricted - Fully; NAID 428081617. PDF extent: 1 pages. Digital object: 1991-04-16--Ozal-2.pdf. Catalog: https://catalog.archives.gov/id/428081617.,[Presidential Daily Diary] 4/16/1991 - NAID 415891232 - Catalog: https://catalog.archives.gov/id/415891232 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-04_16_91-12854-013_415891232.pdf || [Presidential Daily Backup] 4/16/1991 - NAID 415891233 - Catalog: https://catalog.archives.gov/id/415891233 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-04_16_91-12854-014_415891233.pdf,https://catalog.archives.gov/id/428081617,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-04-16--Ozal-2.pdf
