reviewStatus,compilerDecision,compilerNotes,queueRank,queueBucket,candidateId,lane,suggestedAction,priority,chapter,date,title,whyOpen,score,naid,sourceSeries,sourceNote,researchNote,catalogUrl,pdfUrl
,,,746,Open first,CC 005,Central Chronological Files,Open or screen packet index,Open packet first,Turkey,1992-05-01,May 1992 [5],Re: POTUS Call to Demirel (1 pp.) | 04b. Talking Points Points to be Made for Telephone Conversation with Prime Minister Demirel of Turkey (3 pp.) | Minister Demirel of Turkey (3 pp.) | Mitsotakis + memcon | Mitsotakis + telcon | Mitsotakis + memorandum of conversation | Denktash + memorandum | Ozal + memcon | Ozal + telcon | Demirel + memcon | Demirel + telcon,246,470761812,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, May 1992 [5].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761812. Query hit(s): Mitsotakis + memcon, Mitsotakis + telcon, Mitsotakis + memorandum of conversation, Denktash + memorandum, Ozal + memcon, Ozal + telcon, Demirel + memcon, Demirel + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + memcon, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: Re: POTUS Call to Demirel (1 pp.) | 04b. Talking Points Points to be Made for Telephone Conversation with Prime Minister Demirel of Turkey (3 pp.) | Minister Demirel of Turkey (3 pp.). PDF extent: 150 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30526-003.pdf. Catalog: https://catalog.archives.gov/id/470761812.",https://catalog.archives.gov/id/470761812,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30526-003.pdf
,,,745,Open first,BC 003,Blackwill Chronological Files,Open or screen chronological packet,Open packet first,Cyprus,1989-05-01,May 1989 [7],"Subject: Request for Bilateral with Greek Prime | Minister Papandreou | under the auspices of the U.N. Secretary General, between Cypriot | Greece | Greek | Papandreou | Cyprus | Cypriot | Vassiliou | Vassiliou + Cyprus | Denktash",205,453248079,Robert D. Blackwill Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, May 1989 [7].","Catalog provenance: Catalog access Restricted - Possibly; NAID 453248079. Query hit(s): Greece, Greek, Papandreou, Cyprus, Cypriot, Vassiliou, Vassiliou + Cyprus, Denktash, Turkey, Turkish, Ozal, Ozal + Turkey, Greece / Turkey / Cyprus, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: Subject: Request for Bilateral with Greek Prime | Minister Papandreou | under the auspices of the U.N. Secretary General, between Cypriot. PDF extent: 133 pages. Digital object: 41-bpr-nsc-blackwill_chron-30544-003.pdf. Catalog: https://catalog.archives.gov/id/453248079.",https://catalog.archives.gov/id/453248079,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30544-003.pdf
,,,743,Open first,CC 007,Central Chronological Files,Open or screen packet index,Open packet first,Greece,1992-11-01,November 1992 [2],02a. Memorandum To: Brent Scowcroft From: Jane Holl 11/13/92 (b)f1) g Re: President's Meeting with Prime Minister Mitsotakis of | Re: President's Meeting with Prime Minister Mitsotakis of Greece (1 pp.) | 02b. Memorandum From: Brent Scowcroft 11/17/92 (b)(1) Cc Re: Meeting with Prime Minister Mitsotakis (3 pp.) | Mitsotakis + memcon | Mitsotakis + telcon | Mitsotakis + memorandum of conversation | Denktash + memorandum | Ozal + memcon | Ozal + telcon | Demirel + memcon | Demirel + telcon,243,470761834,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, November 1992 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761834. Query hit(s): Mitsotakis + memcon, Mitsotakis + telcon, Mitsotakis + memorandum of conversation, Denktash + memorandum, Ozal + memcon, Ozal + telcon, Demirel + memcon, Demirel + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + memcon, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 02a. Memorandum To: Brent Scowcroft From: Jane Holl 11/13/92 (b)f1) g Re: President's Meeting with Prime Minister Mitsotakis of | Re: President's Meeting with Prime Minister Mitsotakis of Greece (1 pp.) | 02b. Memorandum From: Brent Scowcroft 11/17/92 (b)(1) Cc Re: Meeting with Prime Minister Mitsotakis (3 pp.). PDF extent: 142 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30530-005.pdf. Catalog: https://catalog.archives.gov/id/470761834.",https://catalog.archives.gov/id/470761834,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30530-005.pdf
,,,737,Open first,BC 001,Blackwill Chronological Files,Open or screen chronological packet,Open packet first,Greece,1989-06-01,June 1989 [6],"missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | of Conversation for the Presidents May | Greece | Greek | Papandreou | Papandreou + memcon | Cyprus | Cypriot | Vassiliou | Vassiliou + Cyprus",237,453248088,Robert D. Blackwill Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, June 1989 [6].","Catalog provenance: Catalog access Restricted - Possibly; NAID 453248088. Query hit(s): Greece, Greek, Papandreou, Papandreou + memcon, Cyprus, Cypriot, Vassiliou, Vassiliou + Cyprus, Denktash, Turkey, Turkish, Ozal, Ozal + Turkey, Greece / Turkey / Cyprus, memcon, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | of Conversation for the Presidents May. PDF extent: 149 pages. Digital object: 41-bpr-nsc-blackwill_chron-30545-006.pdf. Catalog: https://catalog.archives.gov/id/453248088.",https://catalog.archives.gov/id/453248088,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30545-006.pdf
,,,737,Open first,BC 002,Blackwill Chronological Files,Open or screen chronological packet,Open packet first,Greece,1989-07-01,July 1989 [2],"missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | Memorandum of Conversation for the May 30 Meeting Prime Minister Papandreou | Greece | Greek | Papandreou | Papandreou + memcon | Cyprus | Cypriot | Vassiliou | Vassiliou + Cyprus",237,453248091,Robert D. Blackwill Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Robert D. Blackwill Chronological Files, July 1989 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 453248091. Query hit(s): Greece, Greek, Papandreou, Papandreou + memcon, Cyprus, Cypriot, Vassiliou, Vassiliou + Cyprus, Denktash, Turkey, Turkish, Ozal, Ozal + Turkey, Greece / Turkey / Cyprus, memcon, memorandum of conversation, telephone conversation. OCR status: Full PDF OCR reviewed. OCR signals: missing MEMCON is the Presidents meeting with Turkish Prime Minister Ozal, in Brussels on the morning of May 29. The | Minister Ozal, in Brussels on the morning of May 29. The | Memorandum of Conversation for the May 30 Meeting Prime Minister Papandreou. PDF extent: 151 pages. Digital object: 41-bpr-nsc-blackwill_chron-30546-002.pdf. Catalog: https://catalog.archives.gov/id/453248091.",https://catalog.archives.gov/id/453248091,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30546-002.pdf
,,,727,Open first,CC 021,Central Chronological Files,Open or screen packet index,Open packet first,Cyprus,1992-01-01,January 1992 [2],01. Memorandum To: Brent Scowcroft From: Jane Holl 1/30/92 (b1) vA Re: Cyprus (2 pp.) | 07. Memorandum To: Brent Scowcroft From: Jane Holl 1/28/92 (bl) Re: Cyprus (2 pp.) | To: Brent Scowcroft From: Jane Holl Re: Meeting with Greek Foreign Minister (2 pp.) | Mitsotakis + telcon | Mitsotakis + memorandum of conversation | Vassiliou + telcon | Cyprus / Denktash / Vassiliou | Denktash + memorandum | Demirel + telcon | Greek-Turkish + memorandum | Greece / Turkey / Cyprus + telcon,187,470761791,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, January 1992 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761791. Query hit(s): Mitsotakis + telcon, Mitsotakis + memorandum of conversation, Vassiliou + telcon, Cyprus / Denktash / Vassiliou, Denktash + memorandum, Demirel + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 01. Memorandum To: Brent Scowcroft From: Jane Holl 1/30/92 (b1) vA Re: Cyprus (2 pp.) | 07. Memorandum To: Brent Scowcroft From: Jane Holl 1/28/92 (bl) Re: Cyprus (2 pp.) | To: Brent Scowcroft From: Jane Holl Re: Meeting with Greek Foreign Minister (2 pp.). PDF extent: 91 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30522-006.pdf. Catalog: https://catalog.archives.gov/id/470761791.",https://catalog.archives.gov/id/470761791,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30522-006.pdf
,,,707,Open first,CC 028,Central Chronological Files,Open or screen packet index,Open packet first,Cyprus,1991-08-01,August 1991 [2],02b. Memorandum To: Brent Scowcroft From: David Gompert 8/3/91 (b)(1) S Re: Cyprus (2 pp.) | 04. Memorandum To: Brent Scowcroft From: David Gompert 8/5/91 (b)(1) S Re: Cyprus (1 pp.) | 05a. Memorandum To: Brent Scowcroft From: David Gompert 8/2/91 yt) go Re: Presidential Message to Vassiliou (1 pp.) | Vassiliou + memcon | Vassiliou + telcon | Cyprus / Denktash / Vassiliou | Denktash + memorandum | Ozal + memcon | Ozal + telcon | Greek-Turkish + memorandum | Cyprus + memorandum of conversation,167,470761771,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, August 1991 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761771. Query hit(s): Vassiliou + memcon, Vassiliou + telcon, Cyprus / Denktash / Vassiliou, Denktash + memorandum, Ozal + memcon, Ozal + telcon, Greek-Turkish + memorandum, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 02b. Memorandum To: Brent Scowcroft From: David Gompert 8/3/91 (b)(1) S Re: Cyprus (2 pp.) | 04. Memorandum To: Brent Scowcroft From: David Gompert 8/5/91 (b)(1) S Re: Cyprus (1 pp.) | 05a. Memorandum To: Brent Scowcroft From: David Gompert 8/2/91 yt) go Re: Presidential Message to Vassiliou (1 pp.). PDF extent: 144 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30519-001.pdf. Catalog: https://catalog.archives.gov/id/470761771.",https://catalog.archives.gov/id/470761771,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30519-001.pdf
,,,706,Open first,CC 029,Central Chronological Files,Open or screen packet index,Open packet first,Cyprus,1992-12-01,December 1992 [4],02h. Paper Maintaining Our New Strategic Relationship with Turkey (1 pp.) n.d. (bX 1) vA | 02i. Paper Settline the Cyprus Problem (1 pp.) n.d. ot ) vA | 02j. Paper Bosnia (1 pp.) n.d. (yf) g | Vassiliou + telcon | Cyprus / Denktash / Vassiliou | Denktash + memorandum | Ozal + telcon | Demirel + telcon | Greek-Turkish + memorandum | Greece / Turkey / Cyprus + telcon | Cyprus + memorandum of conversation,166,470761838,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, December 1992 [4].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761838. Query hit(s): Vassiliou + telcon, Cyprus / Denktash / Vassiliou, Denktash + memorandum, Ozal + telcon, Demirel + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 02h. Paper Maintaining Our New Strategic Relationship with Turkey (1 pp.) n.d. (bX 1) vA | 02i. Paper Settline the Cyprus Problem (1 pp.) n.d. ot ) vA | 02j. Paper Bosnia (1 pp.) n.d. (yf) g. PDF extent: 192 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30531-004.pdf. Catalog: https://catalog.archives.gov/id/470761838.",https://catalog.archives.gov/id/470761838,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30531-004.pdf
,,,704,Open first,CC 018,Central Chronological Files,Open or screen packet index,Open packet first,Greece,1992-07-01,July 1992 [3],03. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oy) vA | 05. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oh) g | Mitsotakis + memcon | Mitsotakis + memorandum of conversation | Vassiliou + memcon | Cyprus / Denktash / Vassiliou | Denktash + memorandum | Ozal + memcon | Demirel + memcon | Yilmaz + memcon,204,470761820,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, July 1992 [3].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761820. Query hit(s): Mitsotakis + memcon, Mitsotakis + memorandum of conversation, Vassiliou + memcon, Cyprus / Denktash / Vassiliou, Denktash + memorandum, Ozal + memcon, Demirel + memcon, Yilmaz + memcon, Greece / Turkey / Cyprus + memcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 03. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oy) vA | 05. Memcon Meeting with Prime Minister Constantine Mitsotakis of Greece 7/9/92 oh) g. PDF extent: 167 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30528-001.pdf. Catalog: https://catalog.archives.gov/id/470761820.",https://catalog.archives.gov/id/470761820,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30528-001.pdf
,,,704,Open first,CC 017,Central Chronological Files,Open or screen packet index,Open packet first,Turkey,1992-06-01,June 1992 [4],04b. Report Government Report (1 pp.) 6/19/92 (b)(1) S | 05. Telcon Telcon with Prime Minister Demirel of Turkey (2 pp.) 6/26/92 (by) FA 06. Report Government Report (1 pp.) n.d. (b)(1) Cc | 06. Report Government Report (1 pp.) n.d. (b)(1) Cc | Mitsotakis + memcon | Mitsotakis + telcon | Mitsotakis + memorandum of conversation | Denktash + memorandum | Demirel + memcon | Demirel + telcon | Greek-Turkish + memorandum | Greece / Turkey / Cyprus + memcon,204,470761816,European and Eurasian Directorate Central Chronological Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, European and Eurasian Directorate Central Chronological Files, June 1992 [4].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761816. Query hit(s): Mitsotakis + memcon, Mitsotakis + telcon, Mitsotakis + memorandum of conversation, Denktash + memorandum, Demirel + memcon, Demirel + telcon, Greek-Turkish + memorandum, Greece / Turkey / Cyprus + memcon, Greece / Turkey / Cyprus + telcon, Cyprus + memorandum of conversation, Turkey + memorandum of conversation. OCR status: First four pages OCR reviewed. OCR signals: 04b. Report Government Report (1 pp.) 6/19/92 (b)(1) S | 05. Telcon Telcon with Prime Minister Demirel of Turkey (2 pp.) 6/26/92 (by) FA 06. Report Government Report (1 pp.) n.d. (b)(1) Cc | 06. Report Government Report (1 pp.) n.d. (b)(1) Cc. PDF extent: 133 pages. Digital object: 41-bpr-nsc-euro_eura-cen_chron-30527-002.pdf. Catalog: https://catalog.archives.gov/id/470761816.",https://catalog.archives.gov/id/470761816,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30527-002.pdf
