personsListStatus,personKey,participantVariants,documentCount,chapters,firstDate,lastDate,greeceDocs,cyprusDocs,turkeyDocs,regionalDocs,documentDetails,personsListEntry,reviewNote
Matched,"Bush, George Herbert Walker",George H. W. Bush,84,Greece; Cyprus; Turkey; Regional,1989-02-24,1992-12-24,Doc 1.001 (1989-05-30); Doc 1.002 (1989-10-24); Doc 1.003 (1989-11-27); Doc 1.004 (1990-06-06); Doc 1.005 (1990-08-22); Doc 1.006 (1990-11-21); Doc 1.007 (1991-01-14); Doc 1.008 (1991-07-18); Doc 1.009 (1991-12-12); Doc 1.010 (1991-12-12); Doc 1.011 (1991-12-12); Doc 1.012 (1992-06-10); Doc 1.013 (1992-07-09); Doc 1.014 (1992-11-17),Doc 2.001 (1989-10-04); Doc 2.002 (1990-08-25); Doc 2.003 (1992-03-30),Doc 3.001 (1989-02-24); Doc 3.002 (1989-05-29); Doc 3.003 (1989-07-03); Doc 3.004 (1989-08-01); Doc 3.005 (1989-08-01); Doc 3.006 (1989-10-02); Doc 3.007 (1989-11-27); Doc 3.008 (1990-01-18); Doc 3.009 (1990-01-18); Doc 3.010 (1990-07-26); Doc 3.011 (1990-08-03); Doc 3.012 (1990-08-04); Doc 3.013 (1990-08-05); Doc 3.014 (1990-08-08); Doc 3.015 (1990-08-14); Doc 3.016 (1990-08-16); Doc 3.017 (1990-08-20); Doc 3.018 (1990-08-30); Doc 3.019 (1990-09-06); Doc 3.020 (1990-09-10); Doc 3.021 (1990-09-25); Doc 3.022 (1990-10-24); Doc 3.023 (1990-10-31); Doc 3.024 (1990-11-20); Doc 3.025 (1990-11-30); Doc 3.026 (1990-12-01); Doc 3.027 (1990-12-16); Doc 3.028 (1990-12-28); Doc 3.029 (1991-01-10); Doc 3.030 (1991-01-10); Doc 3.031 (1991-01-16); Doc 3.032 (1991-01-21); Doc 3.033 (1991-01-30); Doc 3.034 (1991-02-05); Doc 3.035 (1991-02-15); Doc 3.036 (1991-02-19); Doc 3.037 (1991-02-23); Doc 3.038 (1991-02-26); Doc 3.039 (1991-02-28); Doc 3.040 (1991-03-27); Doc 3.041 (1991-04-02); Doc 3.042 (1991-04-15); Doc 3.043 (1991-04-16); Doc 3.044 (1991-04-16); Doc 3.045 (1991-04-20); Doc 3.046 (1991-05-07); Doc 3.047 (1991-06-04); Doc 3.048 (1991-06-13); Doc 3.049 (1991-07-10); Doc 3.050 (1991-07-20); Doc 3.051 (1991-07-20); Doc 3.052 (1991-07-20); Doc 3.053 (1991-07-22); Doc 3.054 (1991-08-19); Doc 3.055 (1991-09-09); Doc 3.056 (1991-12-05); Doc 3.057 (1992-01-12); Doc 3.058 (1992-04-28); Doc 3.059 (1992-05-07); Doc 3.060 (1992-05-11); Doc 3.061 (1992-06-23); Doc 3.062 (1992-06-26); Doc 3.063 (1992-07-09); Doc 3.064 (1992-08-01); Doc 3.065 (1992-12-05); Doc 3.066 (1992-12-24),Doc 4.001 (1989-09-25),"Doc 3.001 - 1989-02-24 - President's Meeting with Prime Minister Turgut Ozal of Turkey, February 24, 1989 || Doc 3.002 - 1989-05-29 - Meeting with Prime Minister Turgut Ozal of Turkey, May 29, 1989 (no Memcon) || Doc 1.001 - 1989-05-30 - Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989 || Doc 3.003 - 1989-07-03 - Telephone Call to Prime Minister Turgut Ozal of Turkey, July 3, 1989 || Doc 3.004 - 1989-08-01 - Telephone Call to President Kenan Evren of Turkey, August 1, 1989 || Doc 3.005 - 1989-08-01 - Telephone Call to Prime Minister Turgut Ozal of Turkey, August 1, 1989 || Doc 4.001 - 1989-09-25 - President's Lunch for Allied Representatives, September 25, 1989 || Doc 3.006 - 1989-10-02 - Telephone Conversation with Turgut Ozal, Prime Minister of Republic of Turkey || Doc 2.001 - 1989-10-04 - Meeting with George Vassiliou, President of Cyprus || Doc 1.002 - 1989-10-24 - Presentation of Credentials by Christos Zacharakis, Ambassador of Greece || Doc 1.003 - 1989-11-27 - Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989 || Doc 3.007 - 1989-11-27 - Telephone Call to President Turgut Ozal of Turkey, November 27, 1989 || Doc 3.008 - 1990-01-18 - Meeting With President Turgut Ozal of Turkey, January 18, 1990 (1 of 2) || Doc 3.009 - 1990-01-18 - Meeting with President Turgut Ozal of Turkey, January 18, 1990 (2 of 2) || Doc 1.004 - 1990-06-06 - Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990 || Doc 3.010 - 1990-07-26 - Telephone Call to President Turgut Ozal of Turkey, July 26, 1990 || Doc 3.011 - 1990-08-03 - Telephone Call to President Turgut Ozal of Turkey, August 3, 1990 || Doc 3.012 - 1990-08-04 - Telephone Call to President Turgut Ozal of Turkey, August 4, 1990 || Doc 3.013 - 1990-08-05 - Telcon with President Ozal of Turkey, August 5, 1990 || Doc 3.014 - 1990-08-08 - Telephone Call from President Turgut Ozal of Turkey, August 8, 1990 || Doc 3.015 - 1990-08-14 - Telephone Call from President Turgut Ozal of Turkey, August 14, 1990 || Doc 3.016 - 1990-08-16 - Telephone Call with Turgut Ozal, August 16, 1990 || Doc 3.017 - 1990-08-20 - Telephone Conversation with President Turgut Ozal of Turkey, August 20, 1990 || Doc 1.005 - 1990-08-22 - Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990 || Doc 2.002 - 1990-08-25 - Telephone Conversation with President George Vassiliou of Cyprus, August 25, 1990 || Doc 3.018 - 1990-08-30 - Telephone Conversation with President Turgut Ozal of Turkey, August 30, 1990 || Doc 3.019 - 1990-09-06 - Telephone Conversation with President Turgut Ozal of Turkey, September 6, 1990 || Doc 3.020 - 1990-09-10 - Telephone Call to President Turgut Ozal of Turkey, September 10, 1990 || Doc 3.021 - 1990-09-25 - Meeting with President Ozal of Turkey, September 25, 1990 || Doc 3.022 - 1990-10-24 - Telephone Conversation with President Turgut Ozal of' Turkey, October 24, 1990 || Doc 3.023 - 1990-10-31 - Telephone Conversation with President Turgut Ozal of Turkey, October 31, 1990 || Doc 3.024 - 1990-11-20 - Meeting with President Ozal of Turkey, November 20, 1990 || Doc 1.006 - 1990-11-21 - Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990 || Doc 3.025 - 1990-11-30 - Telephone Conversation with President Turgut Ozal of Turkey, November 30, 1990 || Doc 3.026 - 1990-12-01 - Telephone Call from Turkish President Turgut Ozal, December I, 1990 || Doc 3.027 - 1990-12-16 - Telephone Call from Turgut Ozal, December 16, 1990 || Doc 3.028 - 1990-12-28 - Telcon with President Turgut Ozal of Turkey, December 28, 1990 || Doc 3.029 - 1991-01-10 - Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (1 of 2) || Doc 3.030 - 1991-01-10 - Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (2 of 2) || Doc 1.007 - 1991-01-14 - Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991 || Doc 3.031 - 1991-01-16 - Telephone Call to Turgut Ozal, January 16, 1991 || Doc 3.032 - 1991-01-21 - Telephone Conversation with President Turgut Ozal of Turkey, January 21, 1991 || Doc 3.033 - 1991-01-30 - Telephone Conversation with President Turgut Ozal of Turkey, January 30, 1991 || Doc 3.034 - 1991-02-05 - Telephone Conversation with President Turgut Ozal of Turkey, February 5, 1991 || Doc 3.035 - 1991-02-15 - Telephone Conversation with President Turgut Ozal of Turkey, February 15, 1991 || Doc 3.036 - 1991-02-19 - Telcon with President Turgut Ozal of Turkey on February 19, 1991 || Doc 3.037 - 1991-02-23 - Telephone Conversation with President Turgut Ozal of Turkey: February 23, 1991 || Doc 3.038 - 1991-02-26 - Telcon with Turgut Ozal, President of Turkey on February 26, 1991 || Doc 3.039 - 1991-02-28 - Telephone Conversation with President Turgut Ozal of Turkey, February 28, 1991 || Doc 3.040 - 1991-03-27 - Telephone Call from Turgut Ozal, March 27, 1991 || Doc 3.041 - 1991-04-02 - Telcon with Turgut Ozal, President of Turkey on April 2, 1991 || Doc 3.042 - 1991-04-15 - Telcon with Turgut Ozal,President of Turkey on April 15, 1991 || Doc 3.043 - 1991-04-16 - Presidential Call to President Ozal, April 16, 1991 (2 of 2) || Doc 3.044 - 1991-04-16 - Telcon with President Ozal of Turkey on April 16, 1991 (1 of 2) || Doc 3.045 - 1991-04-20 - Telcon with President Ozal of Turkey, April 20, 1991 || Doc 3.046 - 1991-05-07 - Telephone Call to Turgut Ozal, May 7, 1991 || Doc 3.047 - 1991-06-04 - Telcon with Turgut Ozal, President of Turkey on June 4, 1991 || Doc 3.048 - 1991-06-13 - Telcon with Turgut Ozal, President of Turkey on June 13, 1991 || Doc 3.049 - 1991-07-10 - Telephone Call with Turgut Ozal, President of Turkey on July 10, 1991 || Doc 1.008 - 1991-07-18 - President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991 || Doc 3.050 - 1991-07-20 - Meeting with Turgut Ozal, President of Turkey on July 20, 1991 (1 of 2) || Doc 3.051 - 1991-07-20 - Meeting with Turgut Ozal, President of Turkey on July 20, 1991 (2 of 2) || Doc 3.052 - 1991-07-20 - President's Meeting with Prime Minister Yilmaz of Turkey, July 20, 1991 || Doc 3.053 - 1991-07-22 - President's Meeting with President Ozal of Turkey, July 22, 1991 || Doc 3.054 - 1991-08-19 - Telcon with President Turgut Ozal of Turkey, August 19, 1991 || Doc 3.055 - 1991-09-09 - Telcon with Turgut Ozal, President of Turkey, September 9, 1991 || Doc 3.056 - 1991-12-05 - Telcon with Prime Minister Demirel of Turkey, December 5, 1991 || Doc 1.009 - 1991-12-12 - Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3) || Doc 1.010 - 1991-12-12 - Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3) || Doc 1.011 - 1991-12-12 - Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (3 of 3) || Doc 3.057 - 1992-01-12 - Telcon with President Turgut Ozal of Turkey, January 12, 1991 || Doc 2.003 - 1992-03-30 - Meeting with George Vassiliou, President of Cyprus, March 30, 1992 || Doc 3.058 - 1992-04-28 - Meeting with President Turgut Ozal of Turkey, April 28, 1992 || Doc 3.059 - 1992-05-07 - Telcon with President Turgut Ozal of Turkey, May 7, 1992 || Doc 3.060 - 1992-05-11 - Telcon with Prime Minister Demirel of Turkey, May 11, 1992 || Doc 1.012 - 1992-06-10 - Telcon with Constantine Mitsotakis, Prime Minister of Greece, June 10, 1992 || Doc 3.061 - 1992-06-23 - Telcon with Prime Minister Demirel of Turkey, June 23, 1992 || Doc 3.062 - 1992-06-26 - Telcon with Prime Minister Demirel of Turkey, June 26, 1992 || Doc 1.013 - 1992-07-09 - Meeting With Prime Minister Constantine Mitsotakis of Greece, July 9, 1992 || Doc 3.063 - 1992-07-09 - Meeting With Prime Minister Suleyman Demirel of Turkey, July 9, 1992 || Doc 3.064 - 1992-08-01 - Telephone Conversation with Prime Minister Suleyman Demirel of Turkey, August 1, 1992 || Doc 1.014 - 1992-11-17 - Meeting with Prime Minister Mitsotakis of Greece, November 17, 1992 || Doc 3.065 - 1992-12-05 - Telcon with President Turgut Ozal of Turkey, December 5, 1992 || Doc 3.066 - 1992-12-24 - Telcon with Suleyman Demirel, Prime Minister of Turkey, December 24, 1992","Bush, George Herbert Walker, President of the United States from January 20, 1989, until January 20, 1993",
Matched,"Demirel, Suleyman",Suleyman Demirel,7,Turkey,1991-12-05,1992-12-24,,,Doc 3.056 (1991-12-05); Doc 3.060 (1992-05-11); Doc 3.061 (1992-06-23); Doc 3.062 (1992-06-26); Doc 3.063 (1992-07-09); Doc 3.064 (1992-08-01); Doc 3.066 (1992-12-24),,"Doc 3.056 - 1991-12-05 - Telcon with Prime Minister Demirel of Turkey, December 5, 1991 || Doc 3.060 - 1992-05-11 - Telcon with Prime Minister Demirel of Turkey, May 11, 1992 || Doc 3.061 - 1992-06-23 - Telcon with Prime Minister Demirel of Turkey, June 23, 1992 || Doc 3.062 - 1992-06-26 - Telcon with Prime Minister Demirel of Turkey, June 26, 1992 || Doc 3.063 - 1992-07-09 - Meeting With Prime Minister Suleyman Demirel of Turkey, July 9, 1992 || Doc 3.064 - 1992-08-01 - Telephone Conversation with Prime Minister Suleyman Demirel of Turkey, August 1, 1992 || Doc 3.066 - 1992-12-24 - Telcon with Suleyman Demirel, Prime Minister of Turkey, December 24, 1992","Demirel, Suleyman, Prime Minister of Turkey",
Matched,"Evren, Kenan",Kenan Evren,1,Turkey,1989-08-01,1989-08-01,,,Doc 3.004 (1989-08-01),,"Doc 3.004 - 1989-08-01 - Telephone Call to President Kenan Evren of Turkey, August 1, 1989","Evren, Kenan, President of Turkey until November 1989",
Matched,"Mitsotakis, Constantine",Constantine Mitsotakis,11,Greece,1990-06-06,1992-11-17,Doc 1.004 (1990-06-06); Doc 1.005 (1990-08-22); Doc 1.006 (1990-11-21); Doc 1.007 (1991-01-14); Doc 1.008 (1991-07-18); Doc 1.009 (1991-12-12); Doc 1.010 (1991-12-12); Doc 1.011 (1991-12-12); Doc 1.012 (1992-06-10); Doc 1.013 (1992-07-09); Doc 1.014 (1992-11-17),,,,"Doc 1.004 - 1990-06-06 - Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990 || Doc 1.005 - 1990-08-22 - Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990 || Doc 1.006 - 1990-11-21 - Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990 || Doc 1.007 - 1991-01-14 - Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991 || Doc 1.008 - 1991-07-18 - President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991 || Doc 1.009 - 1991-12-12 - Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3) || Doc 1.010 - 1991-12-12 - Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3) || Doc 1.011 - 1991-12-12 - Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (3 of 3) || Doc 1.012 - 1992-06-10 - Telcon with Constantine Mitsotakis, Prime Minister of Greece, June 10, 1992 || Doc 1.013 - 1992-07-09 - Meeting With Prime Minister Constantine Mitsotakis of Greece, July 9, 1992 || Doc 1.014 - 1992-11-17 - Meeting with Prime Minister Mitsotakis of Greece, November 17, 1992","Mitsotakis, Constantine, Prime Minister of Greece",
Matched,"Ozal, Turgut",Turgut Ozal,57,Turkey,1989-02-24,1992-12-05,,,Doc 3.001 (1989-02-24); Doc 3.002 (1989-05-29); Doc 3.003 (1989-07-03); Doc 3.005 (1989-08-01); Doc 3.006 (1989-10-02); Doc 3.007 (1989-11-27); Doc 3.008 (1990-01-18); Doc 3.009 (1990-01-18); Doc 3.010 (1990-07-26); Doc 3.011 (1990-08-03); Doc 3.012 (1990-08-04); Doc 3.013 (1990-08-05); Doc 3.014 (1990-08-08); Doc 3.015 (1990-08-14); Doc 3.016 (1990-08-16); Doc 3.017 (1990-08-20); Doc 3.018 (1990-08-30); Doc 3.019 (1990-09-06); Doc 3.020 (1990-09-10); Doc 3.021 (1990-09-25); Doc 3.022 (1990-10-24); Doc 3.023 (1990-10-31); Doc 3.024 (1990-11-20); Doc 3.025 (1990-11-30); Doc 3.026 (1990-12-01); Doc 3.027 (1990-12-16); Doc 3.028 (1990-12-28); Doc 3.029 (1991-01-10); Doc 3.030 (1991-01-10); Doc 3.031 (1991-01-16); Doc 3.032 (1991-01-21); Doc 3.033 (1991-01-30); Doc 3.034 (1991-02-05); Doc 3.035 (1991-02-15); Doc 3.036 (1991-02-19); Doc 3.037 (1991-02-23); Doc 3.038 (1991-02-26); Doc 3.039 (1991-02-28); Doc 3.040 (1991-03-27); Doc 3.041 (1991-04-02); Doc 3.042 (1991-04-15); Doc 3.043 (1991-04-16); Doc 3.044 (1991-04-16); Doc 3.045 (1991-04-20); Doc 3.046 (1991-05-07); Doc 3.047 (1991-06-04); Doc 3.048 (1991-06-13); Doc 3.049 (1991-07-10); Doc 3.050 (1991-07-20); Doc 3.051 (1991-07-20); Doc 3.053 (1991-07-22); Doc 3.054 (1991-08-19); Doc 3.055 (1991-09-09); Doc 3.057 (1992-01-12); Doc 3.058 (1992-04-28); Doc 3.059 (1992-05-07); Doc 3.065 (1992-12-05),,"Doc 3.001 - 1989-02-24 - President's Meeting with Prime Minister Turgut Ozal of Turkey, February 24, 1989 || Doc 3.002 - 1989-05-29 - Meeting with Prime Minister Turgut Ozal of Turkey, May 29, 1989 (no Memcon) || Doc 3.003 - 1989-07-03 - Telephone Call to Prime Minister Turgut Ozal of Turkey, July 3, 1989 || Doc 3.005 - 1989-08-01 - Telephone Call to Prime Minister Turgut Ozal of Turkey, August 1, 1989 || Doc 3.006 - 1989-10-02 - Telephone Conversation with Turgut Ozal, Prime Minister of Republic of Turkey || Doc 3.007 - 1989-11-27 - Telephone Call to President Turgut Ozal of Turkey, November 27, 1989 || Doc 3.008 - 1990-01-18 - Meeting With President Turgut Ozal of Turkey, January 18, 1990 (1 of 2) || Doc 3.009 - 1990-01-18 - Meeting with President Turgut Ozal of Turkey, January 18, 1990 (2 of 2) || Doc 3.010 - 1990-07-26 - Telephone Call to President Turgut Ozal of Turkey, July 26, 1990 || Doc 3.011 - 1990-08-03 - Telephone Call to President Turgut Ozal of Turkey, August 3, 1990 || Doc 3.012 - 1990-08-04 - Telephone Call to President Turgut Ozal of Turkey, August 4, 1990 || Doc 3.013 - 1990-08-05 - Telcon with President Ozal of Turkey, August 5, 1990 || Doc 3.014 - 1990-08-08 - Telephone Call from President Turgut Ozal of Turkey, August 8, 1990 || Doc 3.015 - 1990-08-14 - Telephone Call from President Turgut Ozal of Turkey, August 14, 1990 || Doc 3.016 - 1990-08-16 - Telephone Call with Turgut Ozal, August 16, 1990 || Doc 3.017 - 1990-08-20 - Telephone Conversation with President Turgut Ozal of Turkey, August 20, 1990 || Doc 3.018 - 1990-08-30 - Telephone Conversation with President Turgut Ozal of Turkey, August 30, 1990 || Doc 3.019 - 1990-09-06 - Telephone Conversation with President Turgut Ozal of Turkey, September 6, 1990 || Doc 3.020 - 1990-09-10 - Telephone Call to President Turgut Ozal of Turkey, September 10, 1990 || Doc 3.021 - 1990-09-25 - Meeting with President Ozal of Turkey, September 25, 1990 || Doc 3.022 - 1990-10-24 - Telephone Conversation with President Turgut Ozal of' Turkey, October 24, 1990 || Doc 3.023 - 1990-10-31 - Telephone Conversation with President Turgut Ozal of Turkey, October 31, 1990 || Doc 3.024 - 1990-11-20 - Meeting with President Ozal of Turkey, November 20, 1990 || Doc 3.025 - 1990-11-30 - Telephone Conversation with President Turgut Ozal of Turkey, November 30, 1990 || Doc 3.026 - 1990-12-01 - Telephone Call from Turkish President Turgut Ozal, December I, 1990 || Doc 3.027 - 1990-12-16 - Telephone Call from Turgut Ozal, December 16, 1990 || Doc 3.028 - 1990-12-28 - Telcon with President Turgut Ozal of Turkey, December 28, 1990 || Doc 3.029 - 1991-01-10 - Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (1 of 2) || Doc 3.030 - 1991-01-10 - Telephone Conversation with President Turgut Ozal of Turkey, January 10, 1991 (2 of 2) || Doc 3.031 - 1991-01-16 - Telephone Call to Turgut Ozal, January 16, 1991 || Doc 3.032 - 1991-01-21 - Telephone Conversation with President Turgut Ozal of Turkey, January 21, 1991 || Doc 3.033 - 1991-01-30 - Telephone Conversation with President Turgut Ozal of Turkey, January 30, 1991 || Doc 3.034 - 1991-02-05 - Telephone Conversation with President Turgut Ozal of Turkey, February 5, 1991 || Doc 3.035 - 1991-02-15 - Telephone Conversation with President Turgut Ozal of Turkey, February 15, 1991 || Doc 3.036 - 1991-02-19 - Telcon with President Turgut Ozal of Turkey on February 19, 1991 || Doc 3.037 - 1991-02-23 - Telephone Conversation with President Turgut Ozal of Turkey: February 23, 1991 || Doc 3.038 - 1991-02-26 - Telcon with Turgut Ozal, President of Turkey on February 26, 1991 || Doc 3.039 - 1991-02-28 - Telephone Conversation with President Turgut Ozal of Turkey, February 28, 1991 || Doc 3.040 - 1991-03-27 - Telephone Call from Turgut Ozal, March 27, 1991 || Doc 3.041 - 1991-04-02 - Telcon with Turgut Ozal, President of Turkey on April 2, 1991 || Doc 3.042 - 1991-04-15 - Telcon with Turgut Ozal,President of Turkey on April 15, 1991 || Doc 3.043 - 1991-04-16 - Presidential Call to President Ozal, April 16, 1991 (2 of 2) || Doc 3.044 - 1991-04-16 - Telcon with President Ozal of Turkey on April 16, 1991 (1 of 2) || Doc 3.045 - 1991-04-20 - Telcon with President Ozal of Turkey, April 20, 1991 || Doc 3.046 - 1991-05-07 - Telephone Call to Turgut Ozal, May 7, 1991 || Doc 3.047 - 1991-06-04 - Telcon with Turgut Ozal, President of Turkey on June 4, 1991 || Doc 3.048 - 1991-06-13 - Telcon with Turgut Ozal, President of Turkey on June 13, 1991 || Doc 3.049 - 1991-07-10 - Telephone Call with Turgut Ozal, President of Turkey on July 10, 1991 || Doc 3.050 - 1991-07-20 - Meeting with Turgut Ozal, President of Turkey on July 20, 1991 (1 of 2) || Doc 3.051 - 1991-07-20 - Meeting with Turgut Ozal, President of Turkey on July 20, 1991 (2 of 2) || Doc 3.053 - 1991-07-22 - President's Meeting with President Ozal of Turkey, July 22, 1991 || Doc 3.054 - 1991-08-19 - Telcon with President Turgut Ozal of Turkey, August 19, 1991 || Doc 3.055 - 1991-09-09 - Telcon with Turgut Ozal, President of Turkey, September 9, 1991 || Doc 3.057 - 1992-01-12 - Telcon with President Turgut Ozal of Turkey, January 12, 1991 || Doc 3.058 - 1992-04-28 - Meeting with President Turgut Ozal of Turkey, April 28, 1992 || Doc 3.059 - 1992-05-07 - Telcon with President Turgut Ozal of Turkey, May 7, 1992 || Doc 3.065 - 1992-12-05 - Telcon with President Turgut Ozal of Turkey, December 5, 1992","Ozal, Turgut, Prime Minister of Turkey until November 1989; President of Turkey from November 1989",
Matched,"Papandreou, Andreas",Andreas Papandreou,1,Greece,1989-05-30,1989-05-30,Doc 1.001 (1989-05-30),,,,"Doc 1.001 - 1989-05-30 - Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989","Papandreou, Andreas, Prime Minister of Greece until July 1989; thereafter leader of the Panhellenic Socialist Movement",
Matched,"Papoulias, George",George Papoulias,1,Regional,1989-09-25,1989-09-25,,,,Doc 4.001 (1989-09-25),"Doc 4.001 - 1989-09-25 - President's Lunch for Allied Representatives, September 25, 1989","Papoulias, George, Greek foreign minister until July 1989",
Matched,"Vassiliou, George",George Vassiliou,3,Cyprus,1989-10-04,1992-03-30,,Doc 2.001 (1989-10-04); Doc 2.002 (1990-08-25); Doc 2.003 (1992-03-30),,,"Doc 2.001 - 1989-10-04 - Meeting with George Vassiliou, President of Cyprus || Doc 2.002 - 1990-08-25 - Telephone Conversation with President George Vassiliou of Cyprus, August 25, 1990 || Doc 2.003 - 1992-03-30 - Meeting with George Vassiliou, President of Cyprus, March 30, 1992","Vassiliou, George, President of Cyprus",
Matched,"Woerner, Manfred",Manfred Woerner,1,Regional,1989-09-25,1989-09-25,,,,Doc 4.001 (1989-09-25),"Doc 4.001 - 1989-09-25 - President's Lunch for Allied Representatives, September 25, 1989","Woerner, Manfred, Secretary General of the North Atlantic Treaty Organization",
Matched,"Yilmaz, Mesut",A. Mesut Yilmaz; Mesut Yilmaz,2,Turkey; Regional,1989-09-25,1991-07-20,,,Doc 3.052 (1991-07-20),Doc 4.001 (1989-09-25),"Doc 4.001 - 1989-09-25 - President's Lunch for Allied Representatives, September 25, 1989 || Doc 3.052 - 1991-07-20 - President's Meeting with Prime Minister Yilmaz of Turkey, July 20, 1991","Yilmaz, Mesut, Prime Minister of Turkey from June 1991 until November 1991",
