reviewStatus,compilerDecision,compilerNotes,compilerNumber,recordId,chapter,date,type,title,selectedNaid,selectedCatalogUrl,selectedPdfUrl,scheduleNaids,matchRank,matchScore,matchStatus,matchReasons,candidateId,lane,candidateDate,candidateTitle,candidateNaid,candidatePriority,sourceSeries,candidateCatalogUrl,candidatePdfUrl
,,,1.001,conversation-428082497,Greece,1989-05-30,Memcon,"Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989",428082497,https://catalog.archives.gov/id/428082497,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-30--Papandreou.pdf,415889858; 415889859,1,95,Review likely source/context packet,chapter match: Greece; date signal: May 30; person signal: papandreou; document-type signal: memcon; country signal: greece; open-first packet,BC 002,Blackwill Chronological Files,1989-07-01,July 1989 [2],453248091,Open packet first,Robert D. Blackwill Chronological Files,https://catalog.archives.gov/id/453248091,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30546-002.pdf
,,,1.001,conversation-428082497,Greece,1989-05-30,Memcon,"Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989",428082497,https://catalog.archives.gov/id/428082497,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-30--Papandreou.pdf,415889858; 415889859,2,91,Review likely source/context packet,chapter match: Greece; date-range signal: 4/19/89-5/31/89; person signal: papandreou; document-type signal: memcon; country signal: greece; high-value packet,RS 001-019,Requested source pool: Scowcroft Papers,,Presidential Meetings--Memorandum of Conversations 4/19/89-5/31/89,366551662,High-value EastMed lead,Presidential Correspondence Files,https://catalog.archives.gov/id/366551662,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91107-003.pdf
,,,1.001,conversation-428082497,Greece,1989-05-30,Memcon,"Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989",428082497,https://catalog.archives.gov/id/428082497,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-30--Papandreou.pdf,415889858; 415889859,3,77,Review likely source/context packet,same month: 1989-05; person signal: papandreou; document-type signal: memorandum of conversation; country signal: greece; open-first packet,BC 003,Blackwill Chronological Files,1989-05-01,May 1989 [7],453248079,Open packet first,Robert D. Blackwill Chronological Files,https://catalog.archives.gov/id/453248079,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/blackwill/chron_2554659/41-bpr-nsc-blackwill_chron-30544-003.pdf
,,,1.002,conversation-428080281,Greece,1989-10-24,Memcon,"Presentation of Credentials by Christos Zacharakis, Ambassador of Greece",428080281,https://catalog.archives.gov/id/428080281,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-10-24--Zacharakis.pdf,415890152; 415890153,,,No source-lane match above threshold,,,,,,,,,,
,,,1.003,conversation-428080371,Greece,1989-11-27,Telcon,"Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989",428080371,https://catalog.archives.gov/id/428080371,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Zolotas.pdf,415890220; 415890221,1,117,Review likely source/context packet,"chapter match: Greece; same month: 1989-11; date signal: November 27, 1989; person signal: zolotas; document-type signal: telephone conversation; country signal: greece; high-value packet",RS 002-013,Requested source pool: Presidential Daily File,1989-11-27 to 1989-11-27,"Monday, November 27, 1989",470416509,High-value EastMed lead,Presidential Daily Files,https://catalog.archives.gov/id/470416509,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbpp/Pres_Daily_Files_595141/1989/41-bpr-ootp-daily_files-90527-011.pdf
,,,1.003,conversation-428080371,Greece,1989-11-27,Telcon,"Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989",428080371,https://catalog.archives.gov/id/428080371,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Zolotas.pdf,415890220; 415890221,2,83,Review likely source/context packet,date signal: 11/27/89; person signal: zolotas; document-type signal: telcon; country signal: greece; open-first packet,CC 076,Central Chronological Files,1989-12-01,December 1989 [3],470761673,Open packet first,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761673,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30503-003.pdf
,,,1.003,conversation-428080371,Greece,1989-11-27,Telcon,"Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989",428080371,https://catalog.archives.gov/id/428080371,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Zolotas.pdf,415890220; 415890221,3,77,Review likely source/context packet,same month: 1989-11; person signal: zolotas; document-type signal: telcon; country signal: greece; open-first packet,CC 065,Central Chronological Files,1989-11-01,November 1989 [2],470761667,Open packet first,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761667,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30502-002.pdf
,,,1.004,conversation-428080735,Greece,1990-06-06,Memcon,"Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990",428080735,https://catalog.archives.gov/id/428080735,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-06-06--Mitsotakis.pdf,415890602; 415890603,1,91,Review likely source/context packet,chapter match: Greece; date-range signal: 5/17/90-6/26/90; person signal: mitsotakis; document-type signal: memcon; country signal: greece; high-value packet,RS 001-015,Requested source pool: Scowcroft Papers,,Presidential Meetings--Memorandum of Conversations 5/17/90-6/26/90,366551669,High-value EastMed lead,Presidential Correspondence Files,https://catalog.archives.gov/id/366551669,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-memcon-91107-010.pdf
,,,1.004,conversation-428080735,Greece,1990-06-06,Memcon,"Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990",428080735,https://catalog.archives.gov/id/428080735,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-06-06--Mitsotakis.pdf,415890602; 415890603,2,84,Review likely source/context packet,chapter match: Greece; same month: 1990-06; person signal: mitsotakis; document-type signal: memorandum of conversation; open-first packet,CC 075,Central Chronological Files,1990-06-01,June 1990 [5],470761700,Open packet first,European and Eurasian Directorate Central Chronological Files,https://catalog.archives.gov/id/470761700,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/euro_eura_dir_374000108/41-bpr-nsc-euro_eura-cen_chron-30507-004.pdf
,,,1.005,conversation-428080965,Greece,1990-08-22,Telcon,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990",428080965,https://catalog.archives.gov/id/428080965,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-22--Mitsotakis.pdf,415890756; 415890757,1,121,Review likely source/context packet,chapter match: Greece; date signal: 8/22/90; date-range signal: 8/22/90-10/5/90; person signal: mitsotakis; document-type signal: telcon; country signal: greece; high-value packet,RS 001-005,Requested source pool: Scowcroft Papers,,Presidential Telephone Calls--Memorandum of Conversations 8/22/90-10/5/90,366551694,High-value EastMed lead,Presidential Correspondence Files,https://catalog.archives.gov/id/366551694,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-gbs/4545941/41-bpr-scow-pcor-telcon-91112-002.pdf
