compilerNumber,chapter,date,type,title,participants,releaseStatus,pageCount,naid,sourceNote,researchNote,scheduleReferences,catalogUrl,pdfUrl
1.001,Greece,1989-05-30,Memcon,"Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989",George H. W. Bush; Andreas Papandreou,Full,3,428082497,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Meeting with Andreas Papandreaou, Prime Minister of Greece, May 30, 1989. Release status: Full. NAID 428082497.",PDF extent: 3 pages. Digital object: 1989-05-30--Papandreou.pdf. Catalog: https://catalog.archives.gov/id/428082497.,"[Presidential Daily Diary] 5/30/1989 [EMPTY] - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 5/30/1989 [EMPTY]. Access restriction: Restricted - Possibly. NAID 415889858. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-05_30_89-12798-011_415889858.pdf. Catalog: https://catalog.archives.gov/id/415889858. - Catalog: https://catalog.archives.gov/id/415889858 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_30_89-12798-011_415889858.pdf || [Presidential Daily Backup] 5/30/1989 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 5/30/1989. Access restriction: Restricted - Possibly. NAID 415889859. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-05_30_89-12798-012_415889859.pdf. Catalog: https://catalog.archives.gov/id/415889859. - Catalog: https://catalog.archives.gov/id/415889859 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-05_30_89-12798-012_415889859.pdf",https://catalog.archives.gov/id/428082497,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-05-30--Papandreou.pdf
1.002,Greece,1989-10-24,Memcon,"Presentation of Credentials by Christos Zacharakis, Ambassador of Greece",George H. W. Bush; Christos Zacharakis,Full,3,428080281,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Presentation of Credentials by Christos Zacharakis, Ambassador of Greece. Release status: Full. NAID 428080281.",PDF extent: 3 pages. Digital object: 1989-10-24--Zacharakis.pdf. Catalog: https://catalog.archives.gov/id/428080281.,"[Presidential Daily Diary] 10/24/1989 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 10/24/1989. Access restriction: Restricted - Possibly. NAID 415890152. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-10_24_89-12809-009_415890152.pdf. Catalog: https://catalog.archives.gov/id/415890152. - Catalog: https://catalog.archives.gov/id/415890152 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-10_24_89-12809-009_415890152.pdf || [Presidential Daily Backup] 10/24/1989 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 10/24/1989. Access restriction: Restricted - Possibly. NAID 415890153. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-10_24_89-12809-010_415890153.pdf. Catalog: https://catalog.archives.gov/id/415890153. - Catalog: https://catalog.archives.gov/id/415890153 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-10_24_89-12809-010_415890153.pdf",https://catalog.archives.gov/id/428080281,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1989-10-24--Zacharakis.pdf
1.003,Greece,1989-11-27,Telcon,"Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989",George H. W. Bush; Xenofon Zolotas,Full,2,428080371,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Call to Prime Minister Xenofon Zolotas of Greece, November 27, 1989. Release status: Full. NAID 428080371.",PDF extent: 2 pages. Digital object: 1989-11-27--Zolotas.pdf. Catalog: https://catalog.archives.gov/id/428080371.,"[Presidential Daily Diary] 11/27/1989 [EMPTY] - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 11/27/1989 [EMPTY]. Access restriction: Restricted - Possibly. NAID 415890220. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-11_27_89-12812-011_415890220.pdf. Catalog: https://catalog.archives.gov/id/415890220. - Catalog: https://catalog.archives.gov/id/415890220 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-11_27_89-12812-011_415890220.pdf || [Presidential Daily Backup] 11/27/1989 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 11/27/1989. Access restriction: Restricted - Possibly. NAID 415890221. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-11_27_89-12812-012_415890221.pdf. Catalog: https://catalog.archives.gov/id/415890221. - Catalog: https://catalog.archives.gov/id/415890221 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1989/41-bpr-apts_sch-dd-11_27_89-12812-012_415890221.pdf",https://catalog.archives.gov/id/428080371,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1989-11-27--Zolotas.pdf
1.004,Greece,1990-06-06,Memcon,"Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990",George H. W. Bush; Constantine Mitsotakis,Full,11,428080735,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting and Lunch with Prime Minister Mitsotakis, June 6, 1990. Release status: Full. NAID 428080735.",PDF extent: 11 pages. Digital object: 1990-06-06--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428080735.,"[Presidential Daily Diary] 6/6/1990 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 6/6/1990. Access restriction: Restricted - Possibly. NAID 415890602. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-06_06_90-12828-027_415890602.pdf. Catalog: https://catalog.archives.gov/id/415890602. - Catalog: https://catalog.archives.gov/id/415890602 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-06_06_90-12828-027_415890602.pdf || [Presidential Daily Backup] 6/6/1990 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 6/6/1990. Access restriction: Restricted - Possibly. NAID 415890603. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-06_06_90-12828-028_415890603.pdf. Catalog: https://catalog.archives.gov/id/415890603. - Catalog: https://catalog.archives.gov/id/415890603 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-06_06_90-12828-028_415890603.pdf",https://catalog.archives.gov/id/428080735,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-06-06--Mitsotakis.pdf
1.005,Greece,1990-08-22,Telcon,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990",George H. W. Bush; Constantine Mitsotakis,Full,3,428080965,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, August 22, 1990. Release status: Full. NAID 428080965.",PDF extent: 3 pages. Digital object: 1990-08-22--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428080965.,"[Presidential Daily Diary] 8/22/1990 [EMPTY] - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 8/22/1990 [EMPTY]. Access restriction: Restricted - Possibly. NAID 415890756. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-08_22_90-12834-031_415890756.pdf. Catalog: https://catalog.archives.gov/id/415890756. - Catalog: https://catalog.archives.gov/id/415890756 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_22_90-12834-031_415890756.pdf || [Presidential Daily Backup] 8/22/1990 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 8/22/1990. Access restriction: Restricted - Possibly. NAID 415890757. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-08_22_90-12834-032_415890757.pdf. Catalog: https://catalog.archives.gov/id/415890757. - Catalog: https://catalog.archives.gov/id/415890757 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-08_22_90-12834-032_415890757.pdf",https://catalog.archives.gov/id/428080965,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1990-08-22--Mitsotakis.pdf
1.006,Greece,1990-11-21,Memcon,"Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990",George H. W. Bush; Constantine Mitsotakis,Full,4,428081201,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Mitsotakis of Greece, November 21, 1990. Release status: Full. NAID 428081201.",PDF extent: 4 pages. Digital object: 1990-11-21--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428081201.,"[Presidential Daily Diary] 11/21/1990 [EMPTY] - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 11/21/1990 [EMPTY]. Access restriction: Restricted - Possibly. NAID 415890940. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-11_21_90-12843-001_415890940.pdf. Catalog: https://catalog.archives.gov/id/415890940. - Catalog: https://catalog.archives.gov/id/415890940 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-11_21_90-12843-001_415890940.pdf || [Presidential Daily Backup] 11/21/1990 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 11/21/1990. Access restriction: Restricted - Possibly. NAID 415890941. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-11_21_90-12843-002_415890941.pdf. Catalog: https://catalog.archives.gov/id/415890941. - Catalog: https://catalog.archives.gov/id/415890941 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1990/41-bpr-apts_sch-dd-11_21_90-12843-002_415890941.pdf",https://catalog.archives.gov/id/428081201,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1990-11-21--Mitsotakis.pdf
1.007,Greece,1991-01-14,Telcon,"Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991",George H. W. Bush; Constantine Mitsotakis,Full,2,428081343,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Telcon Files, Telephone Conversation with Prime Minister Constantine Mitsotakis of Greece, January 14, 1991. Release status: Full. NAID 428081343.",PDF extent: 2 pages. Digital object: 1991-01-14--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428081343.,"[Presidential Daily Diary] 1/14/1991 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 1/14/1991. Access restriction: Restricted - Possibly. NAID 415891048. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-01_14_91-12846-031_415891048.pdf. Catalog: https://catalog.archives.gov/id/415891048. - Catalog: https://catalog.archives.gov/id/415891048 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-01_14_91-12846-031_415891048.pdf || [Presidential Daily Backup] 1/14/1991 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 1/14/1991. Access restriction: Restricted - Possibly. NAID 415891049. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-01_14_91-12846-032_415891049.pdf. Catalog: https://catalog.archives.gov/id/415891049. - Catalog: https://catalog.archives.gov/id/415891049 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-01_14_91-12846-032_415891049.pdf",https://catalog.archives.gov/id/428081343,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498139/1991-01-14--Mitsotakis.pdf
1.008,Greece,1991-07-18,Memcon,"President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991",George H. W. Bush; Constantine Mitsotakis,Full,6,428081777,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, President's Expanded Meeting with Prime Minister Mitsotakis of Greece, Ju 1 y 18, 1991. Release status: Full. NAID 428081777.",PDF extent: 6 pages. Digital object: 1991-07-18--Mitsotakis.pdf. Catalog: https://catalog.archives.gov/id/428081777.,"[Presidential Daily Diary] 7/18/1991 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 7/18/1991. Access restriction: Restricted - Possibly. NAID 415891419. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-07_18_91-12864-003_415891419.pdf. Catalog: https://catalog.archives.gov/id/415891419. - Catalog: https://catalog.archives.gov/id/415891419 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-07_18_91-12864-003_415891419.pdf || [Presidential Daily Backup] 7/18/1991 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 7/18/1991. Access restriction: Restricted - Possibly. NAID 415891420. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-07_18_91-12864-004_415891420.pdf. Catalog: https://catalog.archives.gov/id/415891420. - Catalog: https://catalog.archives.gov/id/415891420 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-07_18_91-12864-004_415891420.pdf",https://catalog.archives.gov/id/428081777,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-07-18--Mitsotakis.pdf
1.009,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3)",George H. W. Bush; Constantine Mitsotakis,Full,3,428082071,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (1 of 3). Release status: Full. NAID 428082071.",PDF extent: 3 pages. Digital object: 1991-12-12--Mitsotakis-1.pdf. Catalog: https://catalog.archives.gov/id/428082071.,"[Presidential Daily Diary] 12/12/1991 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 12/12/1991. Access restriction: Restricted - Possibly. NAID 415891716. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-12_12_91-12875-023_415891716.pdf. Catalog: https://catalog.archives.gov/id/415891716. - Catalog: https://catalog.archives.gov/id/415891716 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-12_12_91-12875-023_415891716.pdf || [Presidential Daily Backup] 12/12/1991 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 12/12/1991. Access restriction: Restricted - Possibly. NAID 415891717. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-12_12_91-12875-024_415891717.pdf. Catalog: https://catalog.archives.gov/id/415891717. - Catalog: https://catalog.archives.gov/id/415891717 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-12_12_91-12875-024_415891717.pdf",https://catalog.archives.gov/id/428082071,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-1.pdf
1.010,Greece,1991-12-12,Memcon,"Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3)",George H. W. Bush; Constantine Mitsotakis,Partial,7,428082073,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Presidential Memcon Files, Meeting with Prime Minister Constantine Mitsotakis of Greece, December 12, 1991 (2 of 3). Release status: Partial. NAID 428082073.",PDF extent: 7 pages. Digital object: 1991-12-12--Mitsotakis-2.pdf. Catalog: https://catalog.archives.gov/id/428082073.,"[Presidential Daily Diary] 12/12/1991 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Diary] 12/12/1991. Access restriction: Restricted - Possibly. NAID 415891716. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Diary. Digital object: 41-bpr-apts_sch-dd-12_12_91-12875-023_415891716.pdf. Catalog: https://catalog.archives.gov/id/415891716. - Catalog: https://catalog.archives.gov/id/415891716 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-12_12_91-12875-023_415891716.pdf || [Presidential Daily Backup] 12/12/1991 - Source: George H.W. Bush Library, Bush Presidential Records, White House Office of Appointments and Scheduling Files, Presidential Daily Diary and Presidential Daily Backup Materials, [Presidential Daily Backup] 12/12/1991. Access restriction: Restricted - Possibly. NAID 415891717. - Match basis: same-date Daily Diary/Backup folder. Query hit(s): Daily Backup. Digital object: 41-bpr-apts_sch-dd-12_12_91-12875-024_415891717.pdf. Catalog: https://catalog.archives.gov/id/415891717. - Catalog: https://catalog.archives.gov/id/415891717 - PDF: https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-whasf/Presidential_Daily_Diary_186322/1991/41-bpr-apts_sch-dd-12_12_91-12875-024_415891717.pdf",https://catalog.archives.gov/id/428082073,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/321498039/1991-12-12--Mitsotakis-2.pdf
